Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
28.32,0.043000000000000003,2.511,-28.011000000000017,3.6,3.605066606925548e-13
518.541,0.237048,6.7572,-127.0,1.328,2.8032193098864173e-11
518.541,0.21896,6.7572,-167.0,2.408,2.7312108586033966e-11
518.541,0.237286,7.3203000000000005,-220.0,2.428,3.044327440831381e-11
553.612,0.29481599999999997,6.118199999999999,-127.0,1.59,1.0891088776205091e-10
553.612,0.27232,6.118199999999999,-199.99999999999997,1.9,5.2968172039708305e-11
553.612,0.29511199999999993,6.62805,-249.99999999999997,1.87,1.1217682677367671e-10
371.124,0.23406,5.358,-127.0,1.975,6.811096034914643e-12
371.124,0.2162,5.358,-180.0,2.473,7.07893263529573e-12
371.124,0.234295,5.8045,-220.0,1.817,1.0077027183231164e-11
300.0,0.12899999999999998,1.3217340000000002,-216.62499999999997,3.34,3.6313224291563735e-12
300.0,0.125,1.22475,-192.679,4.349,8.229151666530396e-13
28.6085,0.138049,1.3858463012,-34.252937500000016,2.46,6.0839158683759815e-12
32.10856249999999,0.13909699999999997,1.4323791769,-39.44575000000001,3.5,8.899918977948378e-13
36.021875,0.162102,1.6627936853999998,-42.66381249999999,2.7,1.4980429902254037e-12
31.379374999999996,0.19845400000000002,2.087537626,-35.22812499999998,3.0,7.994395639683263e-13
94.43749999999999,0.11591165999999999,10.364797,-50.28300625000002,3.0,3.8556457007286893e-13
137.9375,0.12499896000000002,11.831036,-83.17359999999998,3.3,3.968014847575178e-13
29.653624999999998,0.12652599999999997,2.4756203685999996,-198.24,4.2,8.229151666530396e-13
29.653624999999998,0.132549,2.6543732544000003,-201.380625,4.5,8.229151666530396e-13
66.040125,0.13855,2.88837956,-204.76375,4.3,4.3969617956383765e-12
66.040125,0.13503,2.752897119,-194.68,4.45,7.433723872952971e-13
184.6875,0.06304018,10.489847,-196.405,2.9,4.395500277630789e-13
189.875,0.067163122,11.124190000000002,-195.480625,2.7,9.671734113817683e-13
52.9375,0.016692901,3.5833465,-46.95460375000001,3.6,3.605066606925548e-13
52.9375,0.016692901,3.5833465,-46.95460375000001,3.7,3.605066606925548e-13
80.875,0.022484421,5.2339588,-62.72803749999999,4.0,5.319680852957186e-13
80.875,0.022484421,5.2339588,-62.72803749999999,3.8,3.03178405794294e-13
92.81250000000001,0.027158844,5.6986547,-196.233125,3.1,1.781786955580899e-13
152.9375,0.042695645,8.5172979,-5.953271812499988,3.2,7.714499303020256e-13
87.87500000000001,0.02663955,4.9962053,-48.90539,3.5,2.739361561750497e-13
154.0,0.042870989,7.930461500000001,-80.54136875000002,3.2,1.4647762598732098e-13
