Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
553.612,0.27232,6.118199999999999,-199.99999999999997,1.9,8.34490047993071e-11
553.612,0.29511199999999993,6.62805,-249.99999999999997,1.87,6.952711008483208e-11
371.124,0.23406,5.358,-127.0,1.975,1.1405368156014683e-11
371.124,0.2162,5.358,-180.0,2.473,6.871665631901656e-12
371.124,0.234295,5.8045,-220.0,1.817,1.6882592600422455e-11
300.0,0.12899999999999998,1.3217340000000002,-216.62499999999997,3.34,1.5091316209837573e-13
300.0,0.125,1.22475,-192.679,4.349,1.148754792159684e-12
28.6085,0.138049,1.3858463012,-34.252937500000016,2.46,1.8084485982889206e-12
32.10856249999999,0.13909699999999997,1.4323791769,-39.44575000000001,3.5,1.4071320772094593e-12
36.021875,0.162102,1.6627936853999998,-42.66381249999999,2.7,1.470290914504201e-12
31.379374999999996,0.19845400000000002,2.087537626,-35.22812499999998,3.0,1.5498393456154862e-12
94.43749999999999,0.11591165999999999,10.364797,-50.28300625000002,3.0,8.329805711196854e-13
137.9375,0.12499896000000002,11.831036,-83.17359999999998,3.3,8.078615367961667e-13
29.653624999999998,0.12652599999999997,2.4756203685999996,-198.24,4.2,4.553931523009518e-13
29.653624999999998,0.132549,2.6543732544000003,-201.380625,4.5,3.241687727228818e-13
66.040125,0.13855,2.88837956,-204.76375,4.3,2.2724388712281654e-13
66.040125,0.13503,2.752897119,-194.68,4.45,7.320841153719355e-13
184.6875,0.06304018,10.489847,-196.405,2.9,5.980095933416237e-13
189.875,0.067163122,11.124190000000002,-195.480625,2.7,9.678460314854346e-13
52.9375,0.016692901,3.5833465,-46.95460375000001,3.6,1.0239224229740222e-12
52.9375,0.016692901,3.5833465,-46.95460375000001,3.7,1.0239224229740222e-12
80.875,0.022484421,5.2339588,-62.72803749999999,4.0,9.122357253677956e-13
80.875,0.022484421,5.2339588,-62.72803749999999,3.8,9.122357253677956e-13
92.81250000000001,0.027158844,5.6986547,-196.233125,3.1,1.4123772094715242e-13
152.9375,0.042695645,8.5172979,-5.953271812499988,3.2,7.532842729347384e-13
87.87500000000001,0.02663955,4.9962053,-48.90539,3.5,1.0239224229740222e-12
154.0,0.042870989,7.930461500000001,-80.54136875000002,3.2,2.1880681735548616e-13
