,Valori Reali,Valori Predetti
20,0.0013805319959964456,0.0018188945
41,0.001757489826368956,0.0034908769
34,0.0011324072327255946,0.0037614116
42,0.0075555304349937775,0.0017994394
26,0.0020376033557647486,0.0030234125
44,0.0012722368219250989,0.005064775
21,0.004007085989379209,0.0016673664
27,0.0030395332619705916,0.003990539
39,0.010878800982553432,0.0037201098
11,0.41793584992243316,0.46273062
