Conn.Dens.,Porosity,SSA,Ech,Tortuosity,k_m2_predetto
371.124,0.23406,5.358,-127.0,1.975,1.3675540929055308e-11
371.124,0.2162,5.358,-180.0,2.473,7.38578697630721e-12
371.124,0.234295,5.8045,-220.0,1.817,1.783543303366677e-11
300.0,0.12899999999999998,1.3217340000000002,-216.62499999999997,3.34,-5.71575575087105e-14
300.0,0.125,1.22475,-192.679,4.349,8.592679211918137e-13
28.6085,0.138049,1.3858463012,-34.252937500000016,2.46,2.0662508788478456e-12
32.10856249999999,0.13909699999999997,1.4323791769,-39.44575000000001,3.5,1.4089719687159716e-12
36.021875,0.162102,1.6627936853999998,-42.66381249999999,2.7,1.7169776702154346e-12
31.379374999999996,0.19845400000000002,2.087537626,-35.22812499999998,3.0,2.2740329289995364e-12
94.43749999999999,0.11591165999999999,10.364797,-50.28300625000002,3.0,1.0807514191653239e-12
137.9375,0.12499896000000002,11.831036,-83.17359999999998,3.3,1.1070401821758377e-12
29.653624999999998,0.12652599999999997,2.4756203685999996,-198.24,4.2,3.674428673757956e-13
29.653624999999998,0.132549,2.6543732544000003,-201.380625,4.5,3.3188052899957724e-13
66.040125,0.13855,2.88837956,-204.76375,4.3,7.815231586746568e-15
66.040125,0.13503,2.752897119,-194.68,4.45,2.8313618195457144e-13
184.6875,0.06304018,10.489847,-196.405,2.9,5.630015261212487e-13
189.875,0.067163122,11.124190000000002,-195.480625,2.7,5.663481628357823e-13
52.9375,0.016692901,3.5833465,-46.95460375000001,3.6,2.0167137636763838e-13
52.9375,0.016692901,3.5833465,-46.95460375000001,3.7,2.0167137636763838e-13
80.875,0.022484421,5.2339588,-62.72803749999999,4.0,2.1946715103840777e-13
80.875,0.022484421,5.2339588,-62.72803749999999,3.8,2.0167137636763838e-13
92.81250000000001,0.027158844,5.6986547,-196.233125,3.1,1.7760378321539553e-13
152.9375,0.042695645,8.5172979,-5.953271812499988,3.2,7.453116145135301e-13
87.87500000000001,0.02663955,4.9962053,-48.90539,3.5,2.1536827821378258e-13
154.0,0.042870989,7.930461500000001,-80.54136875000002,3.2,3.2847150798371273e-13
